file,components_found,removed_components,removed_sizes,kept_sizes,changed,output_file
characters/assassin/001_mythic_assassin_001.png,1,0,,123598,False,/root/perbug/generated_assets_cleaned/characters/assassin/001_mythic_assassin_001.png
characters/assassin/002_mythic_assassin_002.png,1,0,,122319,False,/root/perbug/generated_assets_cleaned/characters/assassin/002_mythic_assassin_002.png
characters/assassin/003_mythic_assassin_003.png,1,0,,122370,False,/root/perbug/generated_assets_cleaned/characters/assassin/003_mythic_assassin_003.png
characters/assassin/004_mythic_assassin_004.png,1,0,,122144,False,/root/perbug/generated_assets_cleaned/characters/assassin/004_mythic_assassin_004.png
characters/assassin/005_mythic_assassin_005.png,1,0,,123519,False,/root/perbug/generated_assets_cleaned/characters/assassin/005_mythic_assassin_005.png
characters/assassin/006_mythic_assassin_006.png,1,0,,122755,False,/root/perbug/generated_assets_cleaned/characters/assassin/006_mythic_assassin_006.png
characters/assassin/007_mythic_assassin_007.png,1,0,,123210,False,/root/perbug/generated_assets_cleaned/characters/assassin/007_mythic_assassin_007.png
characters/assassin/008_mythic_assassin_008.png,1,0,,123921,False,/root/perbug/generated_assets_cleaned/characters/assassin/008_mythic_assassin_008.png
characters/assassin/009_mythic_assassin_009.png,2,0,,70695|23071,False,/root/perbug/generated_assets_cleaned/characters/assassin/009_mythic_assassin_009.png
characters/assassin/010_mythic_assassin_010.png,2,0,,70806|22991,False,/root/perbug/generated_assets_cleaned/characters/assassin/010_mythic_assassin_010.png
characters/assassin/011_mythic_assassin_011.png,2,0,,70903|23184,False,/root/perbug/generated_assets_cleaned/characters/assassin/011_mythic_assassin_011.png
characters/assassin/012_mythic_assassin_012.png,2,0,,70654|23139,False,/root/perbug/generated_assets_cleaned/characters/assassin/012_mythic_assassin_012.png
characters/assassin/013_mythic_assassin_013.png,2,0,,70384|23003,False,/root/perbug/generated_assets_cleaned/characters/assassin/013_mythic_assassin_013.png
characters/assassin/014_mythic_assassin_014.png,2,0,,70512|23189,False,/root/perbug/generated_assets_cleaned/characters/assassin/014_mythic_assassin_014.png
characters/assassin/015_mythic_assassin_015.png,2,0,,70608|23156,False,/root/perbug/generated_assets_cleaned/characters/assassin/015_mythic_assassin_015.png
characters/assassin/016_mythic_assassin_016.png,2,0,,71265|23213,False,/root/perbug/generated_assets_cleaned/characters/assassin/016_mythic_assassin_016.png
characters/assassin/017_mythic_assassin_017.png,2,0,,48277|41817,False,/root/perbug/generated_assets_cleaned/characters/assassin/017_mythic_assassin_017.png
characters/assassin/018_mythic_assassin_018.png,2,0,,48548|41797,False,/root/perbug/generated_assets_cleaned/characters/assassin/018_mythic_assassin_018.png
characters/assassin/019_mythic_assassin_019.png,2,0,,48808|42482,False,/root/perbug/generated_assets_cleaned/characters/assassin/019_mythic_assassin_019.png
characters/assassin/020_mythic_assassin_020.png,2,0,,48913|42704,False,/root/perbug/generated_assets_cleaned/characters/assassin/020_mythic_assassin_020.png
characters/assassin/021_mythic_assassin_021.png,2,0,,48544|43016,False,/root/perbug/generated_assets_cleaned/characters/assassin/021_mythic_assassin_021.png
characters/assassin/022_mythic_assassin_022.png,2,0,,48684|42705,False,/root/perbug/generated_assets_cleaned/characters/assassin/022_mythic_assassin_022.png
characters/assassin/023_mythic_assassin_023.png,2,0,,47244|42756,False,/root/perbug/generated_assets_cleaned/characters/assassin/023_mythic_assassin_023.png
characters/assassin/024_mythic_assassin_024.png,2,0,,48168|43664,False,/root/perbug/generated_assets_cleaned/characters/assassin/024_mythic_assassin_024.png
characters/assassin/025_mythic_assassin_025.png,2,0,,63482|27154,False,/root/perbug/generated_assets_cleaned/characters/assassin/025_mythic_assassin_025.png
characters/assassin/026_mythic_assassin_026.png,2,0,,63859|26918,False,/root/perbug/generated_assets_cleaned/characters/assassin/026_mythic_assassin_026.png
characters/assassin/027_mythic_assassin_027.png,2,0,,64082|26742,False,/root/perbug/generated_assets_cleaned/characters/assassin/027_mythic_assassin_027.png
characters/assassin/028_mythic_assassin_028.png,2,0,,64314|26769,False,/root/perbug/generated_assets_cleaned/characters/assassin/028_mythic_assassin_028.png
characters/assassin/029_mythic_assassin_029.png,2,0,,63752|26383,False,/root/perbug/generated_assets_cleaned/characters/assassin/029_mythic_assassin_029.png
characters/assassin/030_mythic_assassin_030.png,3,0,,64146|21177|5060,False,/root/perbug/generated_assets_cleaned/characters/assassin/030_mythic_assassin_030.png
characters/assassin/031_mythic_assassin_031.png,3,0,,64521|21273|5038,False,/root/perbug/generated_assets_cleaned/characters/assassin/031_mythic_assassin_031.png
characters/assassin/032_legendary_assassin_032.png,2,0,,64794|24474,False,/root/perbug/generated_assets_cleaned/characters/assassin/032_legendary_assassin_032.png
characters/assassin/033_mythic_assassin_033.png,3,0,,86345|4654|2308,False,/root/perbug/generated_assets_cleaned/characters/assassin/033_mythic_assassin_033.png
characters/assassin/034_mythic_assassin_034.png,4,0,,86666|3855|2068|576,False,/root/perbug/generated_assets_cleaned/characters/assassin/034_mythic_assassin_034.png
characters/assassin/035_mythic_assassin_035.png,3,0,,87786|4356|2183,False,/root/perbug/generated_assets_cleaned/characters/assassin/035_mythic_assassin_035.png
characters/assassin/036_mythic_assassin_036.png,4,0,,87146|3115|2186|667,False,/root/perbug/generated_assets_cleaned/characters/assassin/036_mythic_assassin_036.png
characters/assassin/037_mythic_assassin_037.png,3,0,,87082|4232|2012,False,/root/perbug/generated_assets_cleaned/characters/assassin/037_mythic_assassin_037.png
characters/assassin/038_mythic_assassin_038.png,4,0,,86685|3163|2159|743,False,/root/perbug/generated_assets_cleaned/characters/assassin/038_mythic_assassin_038.png
characters/assassin/039_mythic_assassin_039.png,4,0,,87469|3117|2093|725,False,/root/perbug/generated_assets_cleaned/characters/assassin/039_mythic_assassin_039.png
characters/assassin/040_mythic_assassin_040.png,4,0,,87571|2838|2116|815,False,/root/perbug/generated_assets_cleaned/characters/assassin/040_mythic_assassin_040.png
characters/assassin/041_mythic_assassin_041.png,1,0,,133574,False,/root/perbug/generated_assets_cleaned/characters/assassin/041_mythic_assassin_041.png
characters/assassin/042_mythic_assassin_042.png,1,0,,131304,False,/root/perbug/generated_assets_cleaned/characters/assassin/042_mythic_assassin_042.png
